Timestamp,MachineId,MachineCategory,AirTemperature_C,ProcessTemperature_C,RotationalSpeed_RPM,Torque_Nm,ToolWear_Min,FailureWithin24h,FailureType
2025-01-02 12:47:00,MCH-001,LightDuty,22.15,40.64,1873,45.48,30.7,0,NoFailure
2025-01-02 18:40:48,MCH-001,LightDuty,25.19,34.59,1857,12.94,31.0,0,NoFailure
2025-01-03 08:34:04,MCH-001,LightDuty,22.95,36.98,1634,29.8,32.8,0,NoFailure
2025-01-03 13:46:42,MCH-001,LightDuty,23.41,35.01,1784,20.55,34.0,0,NoFailure
2025-01-04 00:24:14,MCH-001,LightDuty,21.88,33.2,1691,24.76,34.6,0,NoFailure
2025-01-04 07:01:04,MCH-001,LightDuty,19.77,32.75,2062,28.86,34.6,0,NoFailure
2025-01-04 14:53:25,MCH-001,LightDuty,23.37,33.81,1716,23.32,35.0,0,NoFailure
2025-01-04 21:06:58,MCH-001,LightDuty,24.18,38.94,1956,26.15,35.2,0,NoFailure
2025-01-05 02:39:23,MCH-001,LightDuty,23.49,38.26,1894,35.69,37.6,0,NoFailure
2025-01-05 15:43:26,MCH-001,LightDuty,22.35,33.87,1892,29.6,39.1,0,NoFailure
2025-01-06 03:27:32,MCH-001,LightDuty,23.34,40.53,1963,36.71,41.6,0,NoFailure
2025-01-06 08:03:09,MCH-001,LightDuty,20.61,35.28,1568,37.1,42.1,0,NoFailure
2025-01-06 17:49:54,MCH-001,LightDuty,22.94,36.99,1760,35.83,44.8,0,NoFailure
2025-01-07 05:52:19,MCH-001,LightDuty,21.95,34.11,1669,29.42,46.1,0,NoFailure
2025-01-07 15:34:12,MCH-001,LightDuty,21.86,36.06,1755,34.01,48.0,0,NoFailure
2025-01-08 00:01:32,MCH-001,LightDuty,22.33,36.51,1518,31.78,49.4,0,NoFailure
2025-01-08 05:22:20,MCH-001,LightDuty,22.01,33.46,1679,27.81,50.1,0,NoFailure
2025-01-08 10:05:35,MCH-001,LightDuty,21.62,36.73,1535,39.29,52.0,0,NoFailure
2025-01-09 01:38:23,MCH-001,LightDuty,22.76,39.14,1490,38.34,54.7,1,Overstrain
2025-01-09 13:30:48,MCH-001,LightDuty,20.69,36.81,1766,31.47,55.7,0,NoFailure
2025-01-10 00:25:26,MCH-001,LightDuty,21.83,31.78,1749,28.78,56.8,0,NoFailure
2025-01-10 15:51:02,MCH-001,LightDuty,22.68,33.1,1924,28.16,58.8,0,NoFailure
2025-01-11 04:06:51,MCH-001,LightDuty,20.41,32.4,2083,12.94,59.9,0,NoFailure
2025-01-11 08:35:54,MCH-001,LightDuty,18.3,31.36,1677,24.53,59.8,0,NoFailure
2025-01-11 22:53:07,MCH-001,LightDuty,21.71,31.27,1896,11.09,60.8,0,NoFailure
2025-01-12 07:08:33,MCH-001,LightDuty,21.44,36.53,1930,34.3,62.3,0,NoFailure
2025-01-12 15:40:48,MCH-001,LightDuty,21.95,34.68,1843,30.92,63.6,0,NoFailure
2025-01-12 20:56:35,MCH-001,LightDuty,21.69,40.0,1759,35.68,64.7,0,NoFailure
2025-01-13 09:30:53,MCH-001,LightDuty,20.13,33.36,1772,27.31,66.4,0,NoFailure
2025-01-13 21:06:15,MCH-001,LightDuty,22.75,34.22,1838,21.11,67.8,0,NoFailure
2025-01-14 08:27:41,MCH-001,LightDuty,21.04,35.82,1694,28.86,68.4,0,NoFailure
2025-01-14 17:05:44,MCH-001,LightDuty,21.23,35.9,1586,38.24,70.7,0,NoFailure
2025-01-15 06:22:58,MCH-001,LightDuty,19.37,30.14,2054,23.93,71.9,0,NoFailure
2025-01-15 12:12:55,MCH-001,LightDuty,19.98,31.26,1744,22.25,72.4,0,NoFailure
2025-01-16 03:04:19,MCH-001,LightDuty,21.8,35.33,1839,28.68,75.1,0,NoFailure
2025-01-16 17:06:31,MCH-001,LightDuty,23.57,34.64,1848,19.09,76.5,0,NoFailure
